iter	TotalF1	MultiClass
111	0.9982371976	0.01244105513
112	0.9982371976	0.0122601622
113	0.9984575863	0.01194881427
114	0.9984575863	0.0117034819
115	0.9985677803	0.01153595486
116	0.9985677803	0.01139789974
117	0.9985677803	0.01128026689
118	0.9987881677	0.01105353951
119	0.9987881677	0.01093008332
120	0.9987881677	0.01065170494
121	0.9987881677	0.01043786459
122	0.9987881677	0.01035383837
123	0.9988983612	0.01020299669
124	0.9990085546	0.01002092142
125	0.9990085546	0.009897984268
126	0.9990085546	0.009831591988
127	0.9991187478	0.009677664905
128	0.9991187478	0.009509343697
129	0.9991187478	0.009346741292
130	0.9991187478	0.009221123239
131	0.9991187478	0.009041804689
132	0.9991187478	0.008860735815
133	0.9991187478	0.008788738129
134	0.9992289409	0.008689394363
135	0.9993391339	0.008617084165
136	0.9993391339	0.00846281751
137	0.9993391339	0.008328392128
138	0.9993391339	0.00826836077
139	0.9993391339	0.008200133868
140	0.9993391339	0.008065765303
141	0.9993391339	0.007928866215
142	0.9993391339	0.007888929402
143	0.9993391339	0.007818996732
144	0.9993391339	0.007759854053
145	0.9993391339	0.007649533078
146	0.9993391339	0.007598326149
147	0.9993391339	0.007537299737
148	0.9993391339	0.00736525323
149	0.9994493268	0.007243970982
150	0.9993391339	0.007193394326
151	0.9993391339	0.00705938473
152	0.9993391339	0.006970546189
153	0.9994493268	0.006833886695
154	0.9994493268	0.006774916043
155	0.9993391339	0.006705089152
156	0.9994493268	0.006644508434
157	0.9994493268	0.006594964438
158	0.9994493268	0.006472227505
159	0.9994493268	0.006426516287
160	0.9994493268	0.006392731159
161	0.9994493268	0.006379175553
162	0.9994493268	0.006329941666
163	0.9994493268	0.006256168473
164	0.9994493268	0.00624916209
165	0.9994493268	0.00620296872
166	0.9994493268	0.006122054291
167	0.9994493268	0.006078170934
168	0.9994493268	0.006032414961
169	0.9994493268	0.006021287449
170	0.9994493268	0.005970788671
171	0.9994493268	0.005925742068
172	0.9994493268	0.00583212681
173	0.9994493268	0.005785256473
174	0.9994493268	0.005738100365
175	0.9994493268	0.005685859933
176	0.9994493268	0.005677697639
177	0.9994493268	0.005601876029
178	0.9994493268	0.005575723375
179	0.9994493268	0.005522211815
180	0.9994493268	0.0055170703
181	0.9994493268	0.005471576805
182	0.9994493268	0.005437734818
183	0.9995595197	0.0053671007
184	0.9995595197	0.005334227618
185	0.9995595197	0.005295187663
186	0.9995595197	0.005282585997
187	0.9995595197	0.005255949081
188	0.9995595197	0.005189136521
189	0.9995595197	0.005160011602
190	0.9995595197	0.005156253324
191	0.9995595197	0.005151501288
192	0.9995595197	0.005140191298
193	0.9995595197	0.005064633574
194	0.9995595197	0.005006197585
195	0.9995595197	0.004955019417
196	0.9995595197	0.004881838703
197	0.9995595197	0.004853403056
198	0.9995595197	0.004820452451
199	0.9995595197	0.004791429071
200	0.9995595197	0.004764004179
201	0.9995595197	0.004732811231
202	0.9995595197	0.004694009839
203	0.9995595197	0.004664939334
204	0.9995595197	0.004593497219
205	0.9995595197	0.004557468427
206	0.9995595197	0.004524104809
207	0.9995595197	0.004486489475
208	0.9995595197	0.004422879283
209	0.9995595197	0.004394105979
210	0.9995595197	0.004365892859
211	0.9995595197	0.004359153666
212	0.9995595197	0.004316154078
213	0.9995595197	0.004291329998
214	0.9995595197	0.004267801121
215	0.9995595197	0.004240159262
216	0.9995595197	0.004215866733
217	0.9995595197	0.004194336906
218	0.9995595197	0.004165358366
219	0.9995595197	0.004131996256
220	0.9995595197	0.004105093491
221	0.9995595197	0.004049469083
222	0.9995595197	0.004042714764
223	0.9995595197	0.004019912352
224	0.9995595197	0.003972181461
225	0.9995595197	0.003970474478
226	0.9995595197	0.003943005787
227	0.9995595197	0.003892977663
228	0.9995595197	0.003863005338
229	0.9995595197	0.00382759785
230	0.9995595197	0.003805482005
231	0.9995595197	0.003782977376
232	0.9995595197	0.003758095008
233	0.9995595197	0.003736684875
234	0.9995595197	0.003696811698
235	0.9996696398	0.003654863013
236	0.9996696398	0.003611433926
237	0.9996696398	0.003565891718
238	0.9996696398	0.003544800429
239	0.9996696398	0.003530788521
240	0.9996696398	0.003486909206
241	0.9996696398	0.003470094944
242	0.9996696398	0.003467939284
243	0.9996696398	0.00346371623
244	0.9996696398	0.003460943999
245	0.9996696398	0.003445357838
246	0.9996696398	0.003443859048
247	0.9996696398	0.003422883754
248	0.9996696398	0.003420530809
249	0.9996696398	0.003416890999
250	0.9996696398	0.003402619935
251	0.9996696398	0.003400247319
252	0.9996696398	0.003378982396
253	0.9996696398	0.003345736348
254	0.9996696398	0.00331814934
255	0.9996696398	0.003311017646
256	0.9996696398	0.0032950906
257	0.9996696398	0.003277678537
258	0.9996696398	0.003256741868
259	0.9996696398	0.003255255734
260	0.9996696398	0.003237403555
261	0.9996696398	0.003233258232
262	0.9996696398	0.003218159608
263	0.9997797599	0.003205463015
264	0.9997797599	0.003167256834
265	0.9997797599	0.003152928874
266	0.9997797599	0.003149842278
267	0.9997797599	0.003118152808
268	0.9997797599	0.003108423748
269	0.9997797599	0.003090406946
270	0.9997797599	0.003073933087
271	0.99988988	0.00304677294
272	0.99988988	0.003045613068
273	0.99988988	0.003014253911
274	0.99988988	0.002989829959
275	0.99988988	0.002988705161
276	0.99988988	0.002976256538
277	0.99988988	0.002965488357
278	0.99988988	0.002937829145
279	0.99988988	0.00290632067
280	0.99988988	0.002868168587
281	0.99988988	0.002855813909
282	0.99988988	0.002853564737
283	0.99988988	0.00284102453
284	0.99988988	0.002831194527
285	0.99988988	0.002820285092
286	0.99988988	0.002804051509
287	0.99988988	0.002792767385
288	0.99988988	0.002781287835
289	0.99988988	0.002756458333
290	0.99988988	0.00274083234
291	0.99988988	0.002728768611
292	0.99988988	0.002706309842
293	0.99988988	0.002691925655
294	0.99988988	0.002690313638
295	0.99988988	0.002665528704
296	0.99988988	0.002652222515
297	0.99988988	0.002640511803
298	0.99988988	0.002635650054
299	0.99988988	0.002621265971
